1,2-dichloroethane degradation	3.8.1.3 3.8.1.5 1.1.2.7 1.2.1.4
L-cysteine biosynthesis II (tRNA-dependent)	3.1.1.29 2.5.1.73 6.1.1.27
L-tryptophan degradation XI (mammalian, via kynurenine)	3.5.1.9 1.2.1.M9 1.1.1.- 3.5.99.5 1.2.1.32 4.1.1.45 1.13.11.6 3.7.1.3 2.6.1.7 1.14.13.9 1.14.14.8 3.7.1.3 2.6.1.7 1.13.11.11 1.13.11.52
aloesone biosynthesis II	2.3.1.- 2.4.1.- 2.3.1.-
barbaloin biosynthesis	2.3.1.-
serotonin degradation	1.1.1.1 2.4.1.17 2.8.2.1 1.2.1.3 2.8.2.1 1.4.3.4
plumbagin biosynthesis	2.3.1.-
aromatic polyketides biosynthesis	2.3.1.- 2.3.1.74
D-galactose degradation I (Leloir pathway)	2.7.1.6 5.4.2.2 5.1.3.2 2.7.7.12 5.1.3.3
L-phenylalanine degradation IV (mammalian, via side chain)	4.1.1.53 2.3.1.14 2.3.1.192 6.2.1.30 1.2.1.39 1.4.3.4 1.13.11.27 1.1.1.110 2.6.1.1 2.6.1.57 2.6.1.27
phaselate biosynthesis	6.2.1.12 2.3.1.- 1.14.14.96 2.3.1.133
homotaurine degradation	2.6.1.-
phosphinothricin tripeptide biosynthesis	3.1.1.- 2.1.1.326 3.1.2.- 2.3.1.- 2.3.1.- 2.3.1.- 2.3.1.- 2.7.7.- 2.3.1.183 2.6.1.- 4.1.1.- 4.2.1.166 2.3.3.18 2.7.8.23 2.7.8.23 4.2.1.- 2.7.1.- 2.7.7.93 1.2.1.- 1.1.1.- 1.13.11.72 1.1.1.309 4.1.1.82 5.4.2.9
benzoylanthranilate biosynthesis	2.3.1.144
rebeccamycin biosynthesis	2.1.1.164 4.3.3.5 1.13.12.17 1.4.3.23 1.14.19.9 1.21.98.2
echinatin biosynthesis	2.1.1.65 5.5.1.6 1.14.14.162
camptothecin biosynthesis	1.14.14.-
tetrathionate oxidation	
L-lysine degradation X	1.2.1.- 2.8.3.13 4.1.1.18 2.6.1.- 1.5.1.- 2.6.1.48
acetaldehyde biosynthesis II	4.1.1.1
coumestrol biosynthesis	1.3.1.51 1.14.14.90 1.3.1.- 1.14.14.90
acetaldehyde biosynthesis I	1.1.1.1
L-dopa degradation	2.1.1.6
protocatechuate degradation III (<I>para</I>-cleavage pathway)	1.13.11.- 4.1.1.77 5.3.2.6 1.2.1.85
dehydroscoulerine biosynthesis	1.21.3.3 1.21.3.-
superpathway of vanillin and vanillate degradation	4.1.3.17 4.1.1.112 2.1.1.341 4.2.1.83 5.3.2.8 3.1.1.57 1.1.1.312 1.13.11.8 1.2.1.67
syringate degradation	1.13.11.- 4.1.1.112 4.1.3.17 4.2.1.83 5.3.2.8 3.1.1.57 2.1.1.- 2.1.1.341 1.13.11.57
5,5'-dehydrodivanillate degradation	4.1.1.- 1.14.13.-
guaiacylglycerol-&beta;-guaiacyl ether degradation	
noradrenaline and adrenaline degradation	1.2.1.3 2.1.1.6 1.4.3.4 1.2.1.3 2.1.1.6 1.4.3.4 2.1.1.6 1.1.1.1 2.1.1.6 1.1.1.1 1.4.3.4 1.4.3.4 2.1.1.28
ferulate degradation	6.2.1.34 4.2.1.101 4.1.2.41
L-ornithine degradation II (Stickland reaction)	1.21.4.1 5.1.1.4 1.5.1.2 5.1.1.12 1.4.1.12 2.3.1.263 5.4.3.5 2.6.1.13
K-252 biosynthesis	1.21.98.2 1.4.3.23
staurosporine biosynthesis	1.21.98.2 2.1.1.139 2.4.1.- 2.1.1.- 1.4.3.23
phosphate acquisition	3.1.3.2
CDP-archaeol biosynthesis	2.5.1.41 2.7.7.67 1.3.7.11 2.7.7.67 2.5.1.42 1.1.1.261
archaetidylinositol biosynthesis	1.1.1.261 2.7.8.39 2.7.7.67 1.3.7.11 2.7.8.- 2.7.7.67 2.5.1.42 2.5.1.41
D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis	2.7.8.11 3.1.4.11 2.7.1.68 2.7.1.67 2.7.1.149
3-phosphoinositide biosynthesis	2.7.1.67 2.7.1.153 2.7.1.68 2.7.1.154 2.7.8.11 3.1.3.- 2.7.1.150 2.7.1.137
purine nucleotides degradation II (aerobic)	3.1.3.5 1.17.1.4 3.5.4.3 2.4.2.15 2.4.2.1 1.1.1.205 2.4.2.1 3.1.3.5 2.4.2.1 1.17.1.4 3.5.4.4 3.1.3.5
superpathway of D-<i>myo</i>-inositol (1,4,5)-trisphosphate metabolism	3.1.3.25 2.7.1.127 3.1.3.56 3.1.3.62 3.1.3.57 3.1.3.56
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis I (from Ins(1,4,5)P3)	2.7.1.127 2.7.1.158 2.7.1.151 2.7.1.151 2.7.1.151
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)	2.7.1.127 3.1.3.56 2.7.1.158 2.7.1.140 2.7.1.159
D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation	3.1.3.56 3.1.3.25 3.1.3.57
D-<i>myo</i>-inositol (1,3,4)-trisphosphate biosynthesis	3.1.3.56 2.7.1.127 3.1.3.62
D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis	2.7.1.159 2.7.1.134 3.1.3.- 2.7.1.140
D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate biosynthesis	3.1.3.- 2.7.1.151 2.7.1.140 2.7.1.159
D-<i>myo</i>-inositol-5-phosphate metabolism	3.1.3.95 3.1.4.11 2.7.1.149 3.1.3.78
3-phosphoinositide degradation	3.1.3.- 3.1.3.- 3.1.3.36 3.1.3.78 3.1.3.67 3.1.3.67 3.1.3.64 3.1.3.66 3.1.3.86
inositol diphosphates biosynthesis	2.7.4.21 2.7.4.24 2.7.4.24 2.7.4.24 2.7.4.24 2.7.4.21 2.7.4.24 2.7.4.21 2.7.1.158 2.7.1.-
ascorbate recycling (cytosolic)	1.8.5.1 1.6.5.- 1.6.5.4
superpathway of inositol phosphate compounds	2.7.1.68 3.1.3.62 2.7.4.21 2.7.4.24 2.7.4.24 2.7.4.24 2.7.4.21 2.7.4.24 2.7.4.24 2.7.4.21 2.7.1.158 2.7.1.- 2.7.1.151 3.1.3.- 2.7.1.134 3.1.3.- 2.7.1.140 2.7.1.159 3.1.3.56 2.7.1.127 3.1.4.11 2.7.1.149 3.1.3.78 2.7.1.153 2.7.1.67 2.7.1.154 2.7.8.11 3.1.3.95 3.1.3.- 2.7.1.150 2.7.1.137
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis IV (<i>Dictyostelium</i>)	5.5.1.4 2.7.1.158 2.7.1.140 2.7.1.64
acrylate degradation	2.3.1.- 1.2.1.18 1.1.1.59
vibriobactin biosynthesis	2.7.7.58 6.3.2.- 5.4.4.2 3.3.2.1 1.3.1.28
desferrioxamine E biosynthesis	6.3.3.- 4.1.1.18
desferrioxamine B biosynthesis	4.1.1.18
&alpha;-tocopherol degradation	1.14.14.94
putrebactin biosynthesis	6.3.2.- 6.3.2.- 2.3.1.- 1.14.13.M63
alcaligin biosynthesis	2.3.1.- 1.14.13.M63 6.3.2.-
bisucaberin biosynthesis	4.1.1.18
mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis	2.5.1.1 3.6.1.- 2.5.1.86 2.5.1.68 5.3.3.2
peptidoglycan biosynthesis III (mycobacteria)	6.3.2.9 2.4.1.129 2.4.1.- 2.4.1.227 2.7.8.- 6.3.2.10 6.3.2.13 5.1.1.3 6.3.2.4 2.5.1.7 1.3.1.98 6.3.2.8
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	1.3.1.98 6.3.2.10 2.5.1.7 6.3.2.8 6.3.2.9 5.1.1.3 6.3.2.4 6.3.2.7
UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	6.3.2.8 6.3.2.10 6.3.2.13 6.3.2.9 5.1.1.3 6.3.2.4 2.5.1.7 1.3.1.98
(S,S)-butanediol degradation	1.1.1.76
pyruvate fermentation to (<i>S</i>)-acetoin	2.2.1.6 1.1.1.304
(<i>S,S</i>)-butanediol biosynthesis	1.1.1.76
<i>meso</i>-butanediol biosynthesis I	1.1.1.-
<i>meso</i>-butanediol biosynthesis II	1.1.1.-
superpathway of seleno-compound metabolism	4.4.1.- 2.5.1.- 1.2.-.- 2.1.1.12 2.1.1.280 2.1.1.14 4.4.1.13 2.5.1.47 2.3.1.30 1.8.1.- 1.8.1.- 1.8.4.9 2.7.7.4
superpathway of 2,3-butanediol biosynthesis	2.2.1.6 1.1.1.- 1.1.1.4 4.1.1.5 1.1.1.- 1.1.1.76 1.1.1.304 1.1.1.303
mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	2.7.8.35 2.3.1.- 2.4.2.47 2.4.2.46 2.4.1.288 2.4.1.- 2.4.1.- 2.4.1.289 5.4.99.9 5.1.3.2 2.4.2.45 1.1.1.333 1.1.98.3
melatonin degradation I	1.14.14.1 2.4.1.17 2.8.2.1 1.14.14.1 2.8.2.1
melatonin degradation II	1.4.3.4
UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)	5.1.3.5
melatonin degradation III	
hispidol and hispidol 4'-<i>O</i>-&beta;-<i>D</i>-glucoside biosynthesis	2.4.1.- 1.11.2.- 1.11.2.- 1.11.2.- 1.11.2.- 1.11.2.- 1.11.2.-
superpathway of melatonin degradation	1.14.14.1 2.4.1.17 2.8.2.1 1.14.14.1 2.8.2.1 1.4.3.4
carrageenan biosynthesis	2.5.1.-
superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	2.3.1.157 2.3.1.- 2.4.2.47 2.4.2.46 2.4.1.288 2.4.1.- 2.4.1.- 2.4.1.289 2.7.8.35 2.7.7.23 2.6.1.16 5.4.2.10 5.3.1.9 2.5.1.86 3.6.1.- 2.5.1.68 2.5.1.1 5.3.3.2 5.4.99.9 5.1.3.2 5.1.3.13 1.1.1.133 2.7.7.24 2.4.2.45 1.1.1.333 1.1.98.3 4.2.1.46 2.7.6.1
Rapoport-Luebering glycolytic shunt	5.4.2.4 3.1.3.80
salicylate biosynthesis I	5.4.4.2 4.2.99.21
yersiniabactin biosynthesis	2.3.1.-
pyochelin biosynthesis	
pyoverdine I biosynthesis	6.3.2.- 1.14.13.- 2.6.1.76 1.14.13.195
ginsenoside degradation I	3.2.1.195 3.2.1.193 3.2.1.195
ginsenoside degradation II	3.2.1.195
ginsenoside degradation III	3.2.1.193
L-ascorbate biosynthesis V	1.1.1.22 3.1.1.- 1.1.1.365 5.1.3.6 2.7.7.64 2.7.7.9 5.4.2.2
quinate degradation II	4.2.1.10 4.2.1.118 1.1.1.24
4-hydroxycoumarin and dicoumarol biosynthesis	2.3.1.208
shikimate degradation II	4.2.1.118 1.1.1.-
proanthocyanidins biosynthesis from flavanols	1.17.1.3 2.4.1.- 2.4.1.M12 1.14.20.4 1.3.1.77
pyrroloquinoline quinone biosynthesis	1.21.98.4 1.3.3.11 1.1.99.-
arsenate detoxification III (mycothiol)	1.8.1.15 2.8.4.2 1.20.4.3
D-arginine degradation	1.4.1.25
hemoglobin degradation	4.99.1.8 3.4.11.- 3.4.23.38 3.4.23.39
rotenoid biosynthesis II	
uracil degradation II (oxidative)	3.5.1.95 1.17.99.4 3.5.2.1
rot-2'-enonate biosynthesis	1.14.14.88 2.1.1.-
thymine degradation	3.5.2.2 3.5.1.6 1.3.1.2
4-hydroxybenzoate biosynthesis IV (plants)	3.7.1.- 1.2.1.64
curcuminoid biosynthesis	2.3.1.218 2.3.1.- 2.3.1.219 2.3.1.217 2.3.1.219 2.3.1.218 4.3.1.25 4.3.1.24 6.2.1.-
hydroxylated fatty acid biosynthesis (plants)	1.14.18.4 1.14.19.25 2.3.1.23 1.3.1.93 4.2.1.134 1.1.1.330 2.3.1.199 2.3.1.23 2.3.1.23 1.3.1.93 4.2.1.134 1.1.1.330 2.3.1.199 2.3.1.23 1.14.19.25 2.3.1.199 2.3.1.23 2.3.1.23 1.14.18.4 1.3.1.93 4.2.1.134 1.1.1.330
4-hydroxybenzoate biosynthesis III (plants)	4.2.1.17 3.1.2.23 2.3.1.16 1.1.1.35 6.2.1.12
perillyl aldehyde biosynthesis	4.2.3.16 1.14.14.52 1.14.14.52
fenchol biosynthesis I	4.2.3.10
phenylphenalenone biosynthesis	2.3.1.218
spermine and spermidine degradation II	1.5.3.14 1.5.3.14 2.6.1.82
spermine and spermidine degradation III	1.5.3.17 1.5.3.16 1.5.3.17
spermidine hydroxycinnamic acid conjugates biosynthesis	1.14.14.- 2.1.1.- 2.1.1.- 1.14.14.- 2.3.1.M34 2.3.1.M34 2.3.1.M34
benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)	2.3.1.196 6.2.1.25 4.2.1.- 6.2.1.- 4.3.1.25 4.3.1.24
benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)	1.2.1.28 4.3.1.25 4.3.1.24
fenchol biosynthesis II	4.2.3.119 4.2.3.10 4.2.3.16
benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)	4.3.1.25 4.3.1.24 1.2.1.28 4.2.1.- 6.2.1.-
trichome monoterpenes biosynthesis	4.2.3.51 2.5.1.28
hordatine biosynthesis	2.3.1.64
fenchone biosynthesis	4.2.3.10
3-carene biosynthesis	4.2.3.107
stigma estolide biosynthesis	1.14.14.129 2.3.1.- 3.1.3.4 2.3.1.51 2.3.1.15 1.14.14.129
vancomycin resistance I	3.4.13.22 6.1.2.1 1.1.1.28
vancomycin resistance II	5.1.1.18 3.4.13.22 6.3.2.35
serinol biosynthesis	3.1.3.- 2.6.1.M7
<i>trans</i>-cinnamoyl-CoA biosynthesis	6.2.1.- 4.3.1.25 4.3.1.24
benzoyl-CoA biosynthesis	4.2.1.-
peptidoglycan cross-bridge biosynthesis I (S. aureus)	2.3.2.18 2.3.2.16 2.3.2.17
peptidoglycan cross-bridge biosynthesis II (E. faecium)	6.3.1.12 6.3.1.-
peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)	2.3.2.- 2.3.2.16
peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)	2.3.2.10 2.3.2.-
polyvinyl alcohol degradation	1.1.2.6
pyridoxal 5'-phosphate biosynthesis II	4.3.3.6
Kdo transfer to lipid IV<SUB>A</SUB> III (Chlamydia)	2.4.99.12 2.4.99.15 2.4.99.15 2.4.99.14 2.4.99.13
peptidoglycan biosynthesis V (&beta;-lactam resistance)	6.3.2.9 2.4.1.129 3.4.16.- 2.4.1.129 6.3.1.12 2.4.1.227 2.7.8.13 3.4.17.14 6.3.2.10 6.3.2.7 5.1.1.3 6.3.2.4 6.3.2.8 1.3.1.98 2.5.1.7
peptidoglycan biosynthesis IV (Enterococcus faecium)	6.3.2.9 2.4.1.129 3.4.16.4 2.4.1.129 6.3.1.- 6.3.1.12 6.3.5.c 2.4.1.227 2.7.8.13 6.3.2.10 6.3.2.7 5.1.1.3 6.3.2.4 2.5.1.7 1.3.1.98 6.3.2.8
4-aminobutanoate degradation IV	1.2.1.24 2.6.1.96
<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	5.2.1.13 5.2.1.12
cytidylyl molybdenum cofactor biosynthesis	2.7.7.76
gibberellin inactivation II (methylation)	2.1.1.276 2.1.1.275 2.1.1.- 2.1.1.-
GDP-D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose biosynthesis	5.3.1.28 2.7.7.71 3.1.3.83 2.7.1.168
L-dopa and L-dopachrome biosynthesis	1.14.18.1
diphthamide biosynthesis I (archaea)	2.5.1.108 6.3.1.14 2.1.1.98
ceramide degradation	3.5.1.23 2.7.1.91
D-galacturonate degradation II	1.2.1.26 4.2.1.41 5.5.1.27 5.4.1.4 1.1.1.203
D-galacturonate degradation III	1.1.1.365 1.1.1.372 4.1.2.54 4.2.1.146
chanoclavine I aldehyde biosynthesis	2.1.1.261 1.1.1.332 2.5.1.34
gibberellin inactivation III (epoxidation)	1.14.14.- 1.14.14.- 1.14.14.-
ergotamine biosynthesis	1.14.13.- 5.3.3.- 1.14.13.- 1.5.1.46 1.14.13.-
D-galactarate degradation II	1.2.1.26 4.2.1.42 4.2.1.41
eumelanin biosynthesis	5.3.3.12
D-glucarate degradation II	1.2.1.26 4.2.1.40 4.2.1.41
D-glucuronate degradation II	1.1.1.203 1.2.1.26 4.2.1.41 5.5.1.27
oxidized GTP and dGTP detoxification	3.6.1.55 3.6.1.-
superpathway of ergotamine biosynthesis	1.5.1.46 5.3.3.- 1.14.13.- 1.14.13.- 1.14.13.- 2.5.1.34 2.1.1.261 1.1.1.332
anthranilate degradation IV (aerobic)	1.14.14.8
L-tryptophan degradation XII (Geobacillus)	1.2.1.10 3.7.1.3 4.1.3.39 4.2.1.80 4.1.1.77 3.5.99.5 1.2.1.32 4.1.1.45 1.13.11.6 1.14.14.8 3.5.1.9 1.13.11.11 1.13.11.52
4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate degradation	4.1.2.55 4.1.2.14 2.7.1.178 2.7.1.45 1.1.1.127 5.3.1.17
methanol oxidation to formaldehyde III	1.1.99.37
methanol oxidation to formaldehyde II	1.1.1.244
3-methylarginine biosynthesis	2.1.1.243 2.6.1.- 2.6.1.-
hydrogen oxidation III (anaerobic, NADP)	1.12.1.3
phloridzin biosynthesis	2.3.1.74 2.4.1.357 1.3.1.117
superpathway of microbial D-galacturonate and D-glucuronate degradation	1.1.1.57 4.1.2.55 4.1.2.14 2.7.1.178 2.7.1.45 4.2.1.8 5.3.1.12 3.2.1.31 4.2.1.7 1.1.1.58 5.3.1.12 1.1.1.203 1.2.1.26 4.2.1.41 5.5.1.27 5.4.1.4 4.2.1.146 1.1.1.372 4.1.2.54 1.1.1.365 1.1.1.203 5.5.1.27 4.2.1.42 2.7.1.165 1.1.1.60 4.1.2.20 4.2.1.40 5.3.1.17 1.1.1.127
<i>N</i>-acetylglucosamine degradation II	3.5.1.25 3.5.99.6 2.7.1.59
glycocholate metabolism (bacteria)	1.1.1.52 1.1.1.391 1.1.1.238 1.1.1.176 1.1.1.201 1.1.1.159 3.5.1.24
8-amino-7-oxononanoate biosynthesis I	3.1.1.85 2.3.1.47 1.3.1.9 4.2.1.59 1.1.1.100 2.3.1.179 2.3.1.41 1.3.1.9 4.2.1.59 1.1.1.100 2.1.1.197 2.3.1.179 2.3.1.41
nonaprenyl diphosphate biosynthesis II	2.5.1.85
nitrite-dependent anaerobic methane oxidation	1.14.13.25 1.7.2.1
lychnose and isolychnose biosynthesis	2.4.1.82 2.4.1.166 2.4.1.166 2.4.1.123
stellariose and mediose biosynthesis	2.4.1.82 2.4.1.- 2.4.1.166 2.4.1.- 2.4.1.123
limonene degradation III (to perillate)	1.14.13.- 1.14.13.- 1.1.1.144
stachyose degradation	2.7.7.64 2.7.7.10 2.7.7.64 2.7.7.9 2.7.7.12 2.7.1.6 5.1.3.2 3.2.1.22 3.2.1.-
chlorate reduction	1.13.11.49 1.97.1.1
perchlorate reduction	1.13.11.49 1.97.1.-
mannitol cycle	3.1.3.22 1.1.1.17 2.7.1.4 1.1.1.67
diphenylamine degradation	
aniline degradation	1.14.12.- 3.5.1.123 3.5.1.123 6.3.1.18
phenylethylamine degradation II	1.2.1.39 1.4.99.-
4-aminobutanoate degradation I	2.6.1.19 1.2.1.24
4-aminobutanoate degradation III	2.6.1.19 1.2.1.16
4-aminobutanoate degradation II	1.2.1.79 2.6.1.19
caffeine degradation III (bacteria, via demethylation)	1.17.1.4 1.14.13.128 1.17.3.2 1.14.13.178 1.14.13.179 1.14.13.178 1.14.13.179
(<i>Z</i>)-phenylmethanethial <i>S</i>-oxide biosynthesis	1.1.1.M1 4.4.1.4
costunolide biosynthesis	4.2.3.23 1.14.14.fo
4-aminobenzoate biosynthesis	2.6.1.85 4.1.3.38
superpathway of C28 brassinosteroid biosynthesis	5.3.3.1 1.1.1.357 1.3.1.- 1.1.-.- 1.14.99.- 1.14.14.- 1.14.14.- 1.14.14.- 1.14.14.- 1.14.14.- 1.14.14.- 1.1.-.- 1.1.-.- 1.14.14.- 1.14.14.- 1.14.19.- 1.14.14.- 1.14.14.- 1.14.14.- 1.14.19.- 1.14.19.- 1.14.19.- 1.14.14.- 1.1.99.M1 1.1.-.- 1.3.1.- 1.14.14.- 1.14.14.- 1.14.14.147 1.14.14.- 1.14.14.- 1.14.14.- 1.1.99.M2 1.1.99.M3 1.1.-.- 1.14.14.- 1.14.14.-
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	2.1.1.148 2.7.4.6 2.7.4.12 2.7.4.13 2.7.4.9 3.6.1.23 3.6.1.9 2.7.4.6 1.17.4.1 2.7.4.6 1.17.4.1 3.6.1.15
brassinosteroids inactivation	2.8.2.M2 1.14.14.- 2.4.1.- 2.4.1.- 2.8.2.M2
L-glutamine biosynthesis III	6.3.1.2 1.4.7.1 1.1.1.42 1.1.1.286 1.1.1.41 2.3.3.16 2.3.3.1 4.1.1.31 2.7.9.1
carbazole degradation	1.13.11.39 5.3.2.M1 3.7.1.13 1.14.12.22
caffeine degradation I (main, plants)	
caffeine degradation II	
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	2.7.1.158 2.7.1.151 2.7.1.159 2.7.1.159 2.7.1.140
superpathway of 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis (plants)	2.7.1.140 2.7.1.158 2.7.1.151 2.7.1.151 2.7.1.151 2.7.1.127 2.7.1.159 2.7.1.159
pyrimidine ribonucleosides salvage II	3.5.4.5 3.2.2.3
glycosaminoglycan-protein linkage region biosynthesis	2.4.1.133 2.4.1.135 2.4.1.134 2.4.2.26
heparan sulfate biosynthesis (late stages)	2.8.2.29 2.8.2.23 2.8.2.- 2.8.2.- 2.8.2.- 3.1.1.- 2.8.2.30 2.8.2.8 5.1.3.17 2.4.1.225 2.4.1.223 2.4.1.224
spermidine biosynthesis II	2.7.2.4 1.2.1.11 4.1.1.- 1.5.1.43
norspermidine biosynthesis	1.5.1.43 4.1.1.96 4.1.1.86 2.6.1.76 1.2.1.11 2.7.2.4
heparan sulfate biosynthesis	2.4.1.135 2.8.2.30 2.8.2.- 2.8.2.- 2.8.2.23 2.8.2.29 2.8.2.8 3.1.1.- 2.8.2.- 5.1.3.17 2.4.1.224 2.4.1.225 2.4.1.223 2.4.2.26 2.4.1.133 2.4.1.134
superpathway of polyamine biosynthesis III	2.7.2.4 4.1.1.96 1.5.1.43 4.1.1.- 1.5.1.43 1.2.1.11 4.1.1.86 2.6.1.76
chondroitin biosynthesis	2.4.1.175 2.4.1.174 2.4.1.226
chondroitin sulfate biosynthesis (late stages)	2.8.2.5 2.8.2.17 2.8.2.- 2.8.2.33
dermatan sulfate biosynthesis (late stages)	2.8.2.- 5.1.3.19 2.8.2.33 2.8.2.35
chondroitin sulfate biosynthesis	2.8.2.5 2.8.2.17 2.8.2.- 2.8.2.33 2.4.1.134 2.4.1.175 2.4.1.226 2.4.1.174 2.4.1.135 2.4.1.133 2.4.2.26
dermatan sulfate biosynthesis	2.4.1.226 2.4.2.26 2.4.1.135 2.4.1.175 2.4.1.134 2.8.2.- 2.8.2.33 2.8.2.35 5.1.3.19 2.4.1.133 2.4.1.174
chondroitin sulfate degradation I (bacterial)	4.2.2.20 4.2.2.5 3.2.1.180 3.2.1.179 3.1.6.10 4.2.2.21 3.1.6.9 4.2.2.21 4.2.2.20 4.2.2.5
chondroitin sulfate degradation (metazoa)	
achromobactin biosynthesis	6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.- 6.3.2.-
juvenile hormone III biosynthesis I	1.2.1.94 1.14.14.127 2.1.1.325 1.1.1.216 3.1.3.- 3.6.1.68
dermatan sulfate degradation (metazoa)	
farnesylcysteine salvage pathway	1.8.3.6 2.7.4.32 2.7.1.216 1.1.1.216
8-amino-7-oxononanoate biosynthesis III	6.2.1.14 2.3.1.47
superpathway of guanine and guanosine salvage	2.4.2.8 2.4.2.15 2.4.2.1 2.7.1.73
phosphatidylinositol biosynthesis I (bacteria)	3.1.3.64 5.5.1.4
spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis	1.14.15.9 1.14.15.9 2.1.1.- 2.1.1.- 1.3.99.27 4.2.1.131
pyruvate fermentation to butanol I	1.3.8.1 1.1.1.2 1.1.1.- 1.2.1.57 4.2.1.150 1.1.1.35 2.3.1.16 2.3.1.9 1.2.7.1
2-methylketone biosynthesis	4.1.1.56 4.1.1.56 3.1.2.- 3.1.2.- 4.1.1.56 3.1.2.-
pyruvate fermentation to ethanol III	1.1.1.1 1.2.7.1 1.2.1.10
pyruvate fermentation to acetone	1.2.7.1 4.1.1.4 2.8.3.9 2.8.3.9 2.3.1.16 2.3.1.9
superpathway of <i>Clostridium acetobutylicum</i> acidogenic fermentation	2.3.1.16 2.3.1.9 2.3.1.8 2.7.2.7 2.3.1.19 1.3.8.1 4.2.1.150 1.1.1.35 2.7.2.15 2.7.2.1 1.2.7.1
manganese oxidation I	1.11.1.16 1.11.1.13
manganese oxidation II	
sulfoacetate degradation	1.2.1.81 6.2.1.-
superpathway of <i>Clostridium acetobutylicum</i> solventogenic fermentation	2.8.3.9 4.1.1.4 2.8.3.9 1.1.1.2 1.1.1.- 1.2.1.57 1.3.8.1 4.2.1.150 1.1.1.35 2.3.1.16 2.3.1.9 1.1.1.1 1.2.1.10 1.2.7.1
superpathway of guanosine nucleotides degradation (plants)	1.17.1.4 3.5.4.3 3.2.2.1 3.2.2.1 3.1.3.5 3.5.4.15
adenosine nucleotides degradation I	1.17.1.4 1.17.1.4 3.2.2.2 3.1.3.99 3.1.3.5 3.2.2.1 3.1.3.5 1.1.1.205 3.5.4.17 3.5.4.6
sciadonate biosynthesis	2.3.1.199 1.14.19.37 1.3.1.93 4.2.1.134 1.1.1.330
guanine and guanosine salvage II	2.4.2.8 3.2.2.1
naringenin <i>C</i>-glucosylation	2.4.1.dc 4.2.1.M14 4.2.1.M14 1.14.14.162
dicranin biosynthesis	1.14.19.47 1.14.19.38 1.14.19.47 1.14.19.38
superpathway of <i>Clostridium acetobutylicum</i> acidogenic and solventogenic fermentation	1.2.7.1 1.1.1.1 1.2.1.10 4.1.1.4 2.8.3.9 2.7.2.15 2.7.2.1 2.3.1.8 2.8.3.9 1.1.1.2 1.1.1.- 1.2.1.57 2.7.2.7 2.3.1.19 1.3.8.1 4.2.1.150 1.1.1.35 2.3.1.16 2.3.1.9
adenine and adenosine salvage II	2.4.2.7 3.2.2.7
guanosine nucleotides degradation II	3.5.4.3 1.17.1.4 3.1.3.5 3.2.2.1
guanosine nucleotides degradation I	3.1.3.5 1.17.1.4 3.2.2.1 3.5.4.15
guanosine nucleotides degradation III	2.4.2.15 2.4.2.1 3.5.4.3 1.17.1.4 3.1.3.5
adenine and adenosine salvage III	2.4.2.1 2.4.2.8 2.4.2.1 3.5.4.4
adenine salvage	2.4.2.7 2.4.2.8 3.5.4.2
adenine and adenosine salvage V	2.7.1.73 2.4.2.1 3.5.4.4
superpathway of tetrahydrofolate biosynthesis	6.3.2.12 4.1.3.38 1.5.1.3 2.5.1.15 2.7.6.3 4.1.2.25 3.6.1.- 3.6.1.67 3.5.4.16 2.6.1.85
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	3.5.4.9 2.1.2.2
tetrahydrofolate biosynthesis	1.5.1.3 2.5.1.15 6.3.2.12
ethanol degradation III	1.14.14.- 6.2.1.1 1.2.1.3
ethanol degradation IV	1.2.1.3 6.2.1.1 1.11.1.6
sulfolactate degradation I	1.1.1.338 4.4.1.24 1.1.1.310
